taxonomy,concept,unit,value,start,end,filed,accn,form,frame,fy,fp
dei,EntityCommonStockSharesOutstanding,shares,895816758,,2009-06-27,2009-07-22,0001193125-09-153165,10-Q,CY2009Q2I,2009,Q3
dei,EntityCommonStockSharesOutstanding,shares,900678473,,2009-10-16,2009-10-27,0001193125-09-214859,10-K,,2009,FY
dei,EntityCommonStockSharesOutstanding,shares,900678473,,2009-10-16,2010-01-25,0001193125-10-012091,10-K/A,CY2009Q3I,2009,FY
dei,EntityCommonStockSharesOutstanding,shares,906794589,,2010-01-15,2010-01-25,0001193125-10-012085,10-Q,CY2009Q4I,2010,Q1
dei,EntityCommonStockSharesOutstanding,shares,909938383,,2010-04-09,2010-04-21,0001193125-10-088957,10-Q,CY2010Q1I,2010,Q2
dei,EntityCommonStockSharesOutstanding,shares,913562880,,2010-07-09,2010-07-21,0001193125-10-162840,10-Q,CY2010Q2I,2010,Q3
dei,EntityCommonStockSharesOutstanding,shares,917307099,,2010-10-15,2010-10-27,0001193125-10-238044,10-K,CY2010Q3I,2010,FY
dei,EntityCommonStockSharesOutstanding,shares,921278012,,2011-01-07,2011-01-19,0001193125-11-010144,10-Q,CY2010Q4I,2011,Q1
dei,EntityCommonStockSharesOutstanding,shares,924754561,,2011-04-08,2011-04-21,0001193125-11-104388,10-Q,CY2011Q1I,2011,Q2
dei,EntityCommonStockSharesOutstanding,shares,927090886,,2011-07-08,2011-07-20,0001193125-11-192493,10-Q,CY2011Q2I,2011,Q3
dei,EntityCommonStockSharesOutstanding,shares,929409000,,2011-10-14,2011-10-26,0001193125-11-282113,10-K,CY2011Q3I,2011,FY
dei,EntityCommonStockSharesOutstanding,shares,932370000,,2012-01-13,2012-01-25,0001193125-12-023398,10-Q,CY2011Q4I,2012,Q1
dei,EntityCommonStockSharesOutstanding,shares,935062000,,2012-04-13,2012-04-25,0001193125-12-182321,10-Q,CY2012Q1I,2012,Q2
dei,EntityCommonStockSharesOutstanding,shares,937406000,,2012-07-13,2012-07-25,0001193125-12-314552,10-Q,CY2012Q2I,2012,Q3
dei,EntityCommonStockSharesOutstanding,shares,940692000,,2012-10-19,2012-10-31,0001193125-12-444068,10-K,CY2012Q3I,2012,FY
dei,EntityCommonStockSharesOutstanding,shares,939058000,,2013-01-11,2013-01-24,0001193125-13-022339,10-Q,CY2012Q4I,2013,Q1
dei,EntityCommonStockSharesOutstanding,shares,938649000,,2013-04-12,2013-04-24,0001193125-13-168288,10-Q,CY2013Q1I,2013,Q2
dei,EntityCommonStockSharesOutstanding,shares,908497000,,2013-07-12,2013-07-24,0001193125-13-300670,10-Q,CY2013Q2I,2013,Q3
dei,EntityCommonStockSharesOutstanding,shares,899738000,,2013-10-18,2013-10-30,0001193125-13-416534,10-K,CY2013Q3I,2013,FY
dei,EntityCommonStockSharesOutstanding,shares,891989000,,2014-01-10,2014-01-28,0001193125-14-024487,10-Q,CY2013Q4I,2014,Q1
dei,EntityCommonStockSharesOutstanding,shares,861381000,,2014-04-11,2014-04-24,0001193125-14-157311,10-Q,CY2014Q1I,2014,Q2
dei,EntityCommonStockSharesOutstanding,shares,5987867000,,2014-07-11,2014-07-23,0001193125-14-277160,10-Q,CY2014Q2I,2014,Q3
dei,EntityCommonStockSharesOutstanding,shares,5864840000,,2014-10-10,2014-10-27,0001193125-14-383437,10-K,CY2014Q3I,2014,FY
dei,EntityCommonStockSharesOutstanding,shares,5824748000,,2015-01-09,2015-01-28,0001193125-15-023697,10-Q,CY2014Q4I,2015,Q1
dei,EntityCommonStockSharesOutstanding,shares,5761030000,,2015-04-10,2015-04-28,0001193125-15-153166,10-Q,CY2015Q1I,2015,Q2
dei,EntityCommonStockSharesOutstanding,shares,5702722000,,2015-07-10,2015-07-22,0001193125-15-259935,10-Q,CY2015Q2I,2015,Q3
dei,EntityCommonStockSharesOutstanding,shares,5575331000,,2015-10-09,2015-10-28,0001193125-15-356351,10-K,CY2015Q3I,2015,FY
dei,EntityCommonStockSharesOutstanding,shares,5544583000,,2016-01-08,2016-01-27,0001193125-16-439878,10-Q,CY2015Q4I,2016,Q1
dei,EntityCommonStockSharesOutstanding,shares,5477425000,,2016-04-08,2016-04-27,0001193125-16-559625,10-Q,CY2016Q1I,2016,Q2
dei,EntityCommonStockSharesOutstanding,shares,5388443000,,2016-07-15,2016-07-27,0001628280-16-017809,10-Q,CY2016Q2I,2016,Q3
dei,EntityCommonStockSharesOutstanding,shares,5332313000,,2016-10-14,2016-10-26,0001628280-16-020309,10-K,CY2016Q3I,2016,FY
dei,EntityCommonStockSharesOutstanding,shares,5246540000,,2017-01-20,2017-02-01,0001628280-17-000717,10-Q,CY2016Q4I,2017,Q1
dei,EntityCommonStockSharesOutstanding,shares,5213840000,,2017-04-21,2017-05-03,0001628280-17-004790,10-Q,CY2017Q1I,2017,Q2
dei,EntityCommonStockSharesOutstanding,shares,5165228000,,2017-07-21,2017-08-02,0000320193-17-000009,10-Q,CY2017Q2I,2017,Q3
dei,EntityCommonStockSharesOutstanding,shares,5134312000,,2017-10-20,2017-11-03,0000320193-17-000070,10-K,CY2017Q3I,2017,FY
dei,EntityCommonStockSharesOutstanding,shares,5074013000,,2018-01-19,2018-02-02,0000320193-18-000007,10-Q,CY2017Q4I,2018,Q1
dei,EntityCommonStockSharesOutstanding,shares,4915138000,,2018-04-20,2018-05-02,0000320193-18-000070,10-Q,CY2018Q1I,2018,Q2
dei,EntityCommonStockSharesOutstanding,shares,4829926000,,2018-07-20,2018-08-01,0000320193-18-000100,10-Q,CY2018Q2I,2018,Q3
dei,EntityCommonStockSharesOutstanding,shares,4745398000,,2018-10-26,2018-11-05,0000320193-18-000145,10-K,CY2018Q3I,2018,FY
dei,EntityCommonStockSharesOutstanding,shares,4715280000,,2019-01-18,2019-01-30,0000320193-19-000010,10-Q,CY2018Q4I,2019,Q1
