date,Revenue,EBIT,CapEx,TotalAssets,TotalDebt,PretaxIncome,TaxProvision,InterestExpense,effective_tax_rate,implied_cost_of_debt,revenue_growth_1y,revenue_growth_3y,historical_ebit_margin,historical_capex_intensity,latest_shares_outstanding,latest_beta,latest_current_price,latest_roe,latest_net_margin,latest_enterprise_value,latest_market_cap,latest_debt_to_equity,revenue_ttm,ebit_ttm
2015-06-30,40403000000,4224000000.0,1722000000.0,112729000000.0,37265000000.0,4224000000.0,698000000,115000000,,,,,0.104546692077321,0.04262059748038512,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,40403000000.0,4224000000.0
2015-09-30,19280000000,3621000000.0,2670000000.0,108649000000.0,37407000000.0,3621000000.0,1943000000,117000000,,,,,0.18781120331950207,0.13848547717842324,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,59683000000.0,7845000000.0
2015-12-31,81741000000,15945000000.0,3579000000.0,110495000000.0,38699000000.0,15945000000.0,2581000000,468000000,,,,,0.19506734686387492,0.04378463684075311,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,141424000000.0,23790000000.0
2016-03-31,18684000000,1034000000.0,956000000.0,118856000000.0,45254000000.0,1034000000.0,-983000000,147000000,,,,,0.05534146863626632,0.05116677371012631,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,160108000000.0,24824000000.0
2016-06-30,38923000000,3049000000.0,1826000000.0,118056000000.0,44224000000.0,3049000000.0,544000000,167000000,,,-0.036630943246788616,,0.07833414690542867,0.04691313619196876,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,158628000000.0,23649000000.0
2016-09-30,58149000000,7345000000.0,2594000000.0,115606000000.0,42124000000.0,7345000000.0,-31000000,473000000,,,2.016026970954357,,0.1263134361725911,0.044609537567284044,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,197497000000.0,27373000000.0
2016-12-31,79919000000,12330000000.0,3567000000.0,117470000000.0,40893000000.0,12330000000.0,449000000,630000000,,,-0.022289915709374775,,0.1542812097248464,0.04463269059923172,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,195675000000.0,23758000000.0
2017-03-31,18155000000,1424000000.0,740000000.0,117495000000.0,42498000000.0,1424000000.0,-329000000,135000000,,,-0.028312995076000824,,0.07843569264665382,0.04076012117873864,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,195146000000.0,24148000000.0
2017-06-30,19289000000,2443000000.0,1425000000.0,120495000000.0,45446000000.0,2443000000.0,111000000,147000000,,,-0.5044318269403694,,0.12665249624138109,0.07387630255586085,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,175512000000.0,23542000000.0
2017-09-30,56597000000,6931000000.0,2273000000.0,121636000000.0,45218000000.0,6931000000.0,120000000,451000000,,,-0.026690054859068946,,0.12246232132445183,0.040161139283000864,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,173960000000.0,23128000000.0
