,Revenue_growth_qoq,Revenue_growth_yoy,EBIT_growth_qoq,EBIT_growth_yoy,TotalAssets_growth_qoq,TotalAssets_growth_yoy,ebit_margin,ebit_margin_change,capex_intensity,debt_to_assets,asset_turnover,Revenue_volatility,EBIT_volatility,Revenue_trend,EBIT_trend,Revenue_lag1,Revenue_lag2,Revenue_lag4,EBIT_lag1,EBIT_lag2,EBIT_lag4,CapEx_lag1,CapEx_lag2,CapEx_lag4,TotalDebt_lag1,TotalDebt_lag2,TotalDebt_lag4,TotalAssets_lag1,TotalAssets_lag2,TotalAssets_lag4,Revenue_ma4,Revenue_std4,Revenue_min4,Revenue_max4,Revenue_ma8,Revenue_std8,Revenue_min8,Revenue_max8,EBIT_ma4,EBIT_std4,EBIT_min4,EBIT_max4,EBIT_ma8,EBIT_std8,EBIT_min8,EBIT_max8,ebit_margin_ma4,ebit_margin_std4,ebit_margin_min4,ebit_margin_max4,ebit_margin_ma8,ebit_margin_std8,ebit_margin_min8,ebit_margin_max8,capex_intensity_ma4,capex_intensity_std4,capex_intensity_min4,capex_intensity_max4,capex_intensity_ma8,capex_intensity_std8,capex_intensity_min8,capex_intensity_max8,treasury_change_1q,treasury_change_1y,treasury_level,vix_level,vix_percentile,high_volatility,gdp_growth,gdp_acceleration,macro_10Y_Treasury_MA2Q,macro_10Y_Treasury_MA4Q,macro_GDP_Growth_MA4Q,macro_GDP_Growth_MA8Q,macro_VIX_MA4Q,corr_Revenue_growth_yoy_GDP_Growth,corr_ebit_margin_VIX,corr_ebit_margin_10Y_Treasury
2015-06-30,,,,,,,0.104546692077321,,0.04262059748038512,0.3340017033203828,1.4336328717543845,,,,,,,,,,,,,,,,,,,,40403000000.0,,32165029999.99999,40403000000.0,40403000000.0,,32165029999.99999,40403000000.0,4224000000.0,,3988829999.9999995,4224000000.0,4224000000.0,,3988829999.9999995,4224000000.0,0.104546692077321,,0.104546692077321,0.104546692077321,0.104546692077321,,0.104546692077321,0.104546692077321,0.04262059748038512,,0.04262059748038512,0.04262059748038512,0.04262059748038512,,0.04262059748038512,0.04883557714504526,,,2.34,18.54,0.65,0,,,2.34,2.34,,,18.54,,,
2015-09-30,-0.5228077122985917,,-0.14275568181818177,,-0.03619299381703023,,0.18781120331950207,0.08326451124218108,0.13192010757193304,0.3442921701994496,0.7098086498725252,,,,,40403000000.0,,,4224000000.0,,,1722000000.0,,,37299080000.0,,,112729000000.0,,,29841500000.0,16081517107.374445,19280000000.0,40403000000.0,29841500000.0,16184191038.976477,19280000000.0,40403000000.0,3922500000.0,822103035.720679,3621000000.0,4224000000.0,3922500000.0,919205944.327126,3621000000.0,4224000000.0,0.14617894769841153,0.05887690053152977,0.104546692077321,0.18781120331950207,0.14617894769841153,0.05887690053152977,0.104546692077321,0.18781120331950207,0.08447314526587953,0.06293333022950595,0.04262059748038512,0.13848547717842324,0.08447314526587953,0.06293333022950595,0.04262059748038512,0.13848547717842324,-0.11687499999999984,,2.223125,19.30734375,0.7,0,18414.36018,,2.2815625,2.2815625,18407.99309,18407.99309,18.923671875,,,
2015-12-31,2.0,,2.0,,0.016990492319303385,,0.17781957646713398,-0.009991626852368096,0.04378463684075311,0.35023304221910495,2.8663645455499625,,,,,19280000000.0,40403000000.0,,3621000000.0,4224000000.0,,2670000000.0,1722000000.0,,37407000000.0,37297660000.0,,109350480000.0,112729000000.0,,47141333333.333336,31242588414.17221,19280000000.0,81741000000.0,47141333333.333336,30941071756.175705,19280000000.0,81741000000.0,7082037624.999999,6115990678.065228,3621000000.0,14535149999.999998,7121184571.428571,6064794580.758627,3621000000.0,14535149999.999998,0.15672582395465234,0.04546377133931141,0.104546692077321,0.18781120331950207,0.15261254221471843,0.04546377133931141,0.104546692077321,0.18781120331950207,0.07496357049985382,0.05501466366314333,0.04262059748038512,0.13848547717842324,0.07496357049985382,0.05501466366314333,0.04262059748038512,0.13848547717842324,-0.03264112903225813,,2.190483870967742,17.03328125,0.475,0,18435.137,33.5109999999986,2.206804435483871,2.251202956989248,18418.3815,18418.3815,18.293541666666663,,,
2016-03-31,-0.7714243769956326,,-0.9288621032462685,,0.07566858228879125,,0.05534146863626632,-0.12247810783086766,0.05116677371012631,0.3807464494850912,0.6287945076394965,,,,,81048640000.0,19280000000.0,,13697192999.999992,3621000000.0,,3574440000.0,2670000000.0,,38699000000.0,37407000000.0,,110495000000.0,109332020000.0,,40027000000.0,29586938728.657505,18684000000.0,81741000000.0,40027000000.0,29586938728.657505,18684000000.0,81741000000.0,5853537500.0,5950852977.147476,1034000000.0,14535149999.999998,5853537500.0,5950852977.147476,1034000000.0,14535149999.999998,0.13137973512505585,0.06283045873958465,0.05534146863626632,0.18781120331950207,0.13137973512505585,0.06283045873958465,0.05534146863626632,0.18781120331950207,0.06901437130242194,0.04646841970279836,0.04262059748038512,0.13848547717842324,0.06901437130242194,0.04646841970279836,0.04262059748038512,0.13848547717842324,-0.2762215758857747,,1.9142622950819672,20.48622950819672,0.725,0,18525.933,90.7960000000021,2.0523730830248548,2.1669677915124272,18454.232,18454.232,18.84171362704918,,,
2016-06-30,1.0832262898736889,-0.036630943246788616,1.9487427466150868,-0.2781723484848485,-0.006730833950326476,0.04725492109395102,0.07833414690542867,0.022992678269162348,0.04691313619196876,0.3746018838517314,1.3187978586433557,,,-0.006735453568841196,0.02296303730863597,18684000000.0,81066860000.0,40403000000.0,1034000000.0,13719244500.000004,4224000000.0,956000000.0,3574560000.0,1722000000.0,45254000000.0,38699000000.0,37294820000.0,118856000000.0,110495000000.0,112729000000.0,39657000000.0,29589923228.46862,18684000000.0,81741000000.0,39806200000.0,25627796836.638145,18684000000.0,81741000000.0,5559787500.0,6085579549.006951,1034000000.0,14535149999.999998,5292630000.0,5304014940.071341,1034000000.0,14535149999.999998,0.12482659883208276,0.0677373542578182,0.05534146863626632,0.18781120331950207,0.12077061748113041,0.0593592182814366,0.05534146863626632,0.18781120331950207,0.07008750598031785,0.045698901933260705,0.04378463684075311,0.13848547717842324,0.06459412428033132,0.04143885182938916,0.04262059748038512,0.13848547717842324,-0.16410604508196713,-0.5898437499999998,1.75015625,15.6759375,0.375,0,18711.702,185.76900000000023,1.832209272540984,2.0195068540124272,18518.5995,18518.5995,18.12569800204918,,,
2016-09-30,0.49394959278575645,1.6019962423673069,1.4089865529681864,1.028445180889257,-0.020752863048045023,0.06403188248396208,0.1263134361725911,0.04797928926716244,0.044609537567284044,0.3643755514419667,2.0119716969707455,,,-0.010409259399349603,-0.27370020886589647,38923000000.0,18684000000.0,19280000000.0,3049000000.0,1034000000.0,3621000000.0,1826000000.0,956000000.0,2670000000.0,44224000000.0,45254000000.0,37407000000.0,118056000000.0,118856000000.0,109295100000.0,49196605000.0,26930297774.996845,18684000000.0,81741000000.0,42863333333.333336,24114384957.254597,18684000000.0,81741000000.0,6490787500.0,5973940018.722288,1034000000.0,14535149999.999998,5634691666.666667,4817478250.123881,1034000000.0,14535149999.999998,0.10945215704535502,0.05432833492562929,0.05534146863626632,0.17781957646713398,0.12169442059637385,0.05314069917832274,0.05534146863626632,0.18781120331950207,0.04661852107753306,0.0033085905703923173,0.04378463684075311,0.05116677371012631,0.06126335982815676,0.03795137288380584,0.04262059748038512,0.13848547717842324,-0.18578125,-0.65875,1.564375,13.23390625,0.15,0,18892.639,180.93699999999808,1.657265625,1.8548193540124276,18641.35275,18593.4074,16.60733862704918,,,
2016-12-31,0.3743830504393886,-0.022289915709374775,0.6786929884275017,-0.15171154064457526,0.016123730602217945,0.06312502828182276,0.1542812097248464,0.0279677735522553,0.04463269059923172,0.34811441219034645,2.7213416191368007,,,-0.1023549724805949,-0.301280083502965,58149000000.0,38923000000.0,81103300000.0,7345000000.0,3049000000.0,13763347499.999996,2594000000.0,1826000000.0,3574800000.0,42124000000.0,44224000000.0,38699000000.0,115606000000.0,118056000000.0,110495000000.0,48918750000.0,26206030735.627758,18684000000.0,79919000000.0,47760890000.0,26091122034.132607,18684000000.0,81741000000.0,5939500000.0,5007755352.118019,1034000000.0,12330000000.0,6591164285.714286,5073850576.461816,1034000000.0,14535149999.999998,0.10356756535978312,0.04491373277702349,0.05534146863626632,0.1542812097248464,0.12634967618615564,0.050049756142038514,0.05534146863626632,0.18781120331950207,0.0468305345171527,0.0030861593561269706,0.04428782628393698,0.05116677371012631,0.05888754993831032,0.03521032369774863,0.04262059748038512,0.13848547717842324,0.5743135245901638,-0.05179534637757799,2.138688524590164,14.097936507936508,0.25,0,19089.379,196.7400000000016,1.8515317622950824,1.8418705174180328,18804.91325,18676.069333333333,15.873502441533306,,,
2017-03-31,-0.772347838125467,-0.028312995076000824,-0.8845093268450933,0.3771760154738879,0.0002128202945432811,-0.011450831257992844,0.07843569264665382,-0.07584551707819259,0.04076012117873864,0.3617004978935274,0.618068853993787,,,0.41483275840040884,0.642882397508208,79919000000.0,58149000000.0,18684000000.0,12330000000.0,7345000000.0,1034000000.0,3567000000.0,2594000000.0,956000000.0,40893000000.0,42124000000.0,45254000000.0,117470000000.0,115606000000.0,118856000000.0,48786500000.0,26410013170.51293,18155000000.0,79919000000.0,44406750000.0,26382041774.93254,18155000000.0,81741000000.0,6037000000.0,4882643614.545983,1424000000.0,12330000000.0,5945268750.0,5040208278.64268,1034000000.0,14535149999.999998,0.10934112136238,0.0375244320459798,0.07833414690542867,0.1542812097248464,0.12036042824371793,0.04933652606706144,0.05534146863626632,0.18781120331950207,0.04422887138430579,0.0027552789567510502,0.04076012117873864,0.04691313619196876,0.05662162134336387,0.033222474285716404,0.04076012117873864,0.13848547717842324,0.3079243786356427,0.5323506081438394,2.4466129032258066,11.691935483870967,0.1,0,19280.084,190.7049999999981,2.292650713907985,1.9749581694539928,18993.451,18762.35714285714,13.674928935451868,,,
2017-06-30,0.062462131644175134,-0.5044318269403694,0.7155898876404494,-0.19875368973433916,0.025533001404315137,0.020659686928237386,0.12665249624138109,0.04821680359472727,0.07387630255586085,0.37716087804473214,0.6403253247022698,1.3230543207891814,1.3777041908547663,-0.08308445984032485,0.0018220970680800914,18155000000.0,79919000000.0,38923000000.0,1424000000.0,12330000000.0,3049000000.0,740000000.0,3567000000.0,1826000000.0,42498000000.0,40893000000.0,44224000000.0,117495000000.0,117470000000.0,118056000000.0,43878000000.0,30380403618.121994,18155000000.0,79919000000.0,41767500000.0,27854804981.75187,18155000000.0,81741000000.0,5885500000.0,5013897652.193019,1424000000.0,12330000000.0,5722643750.0,5164888625.644555,1034000000.0,14535149999.999998,0.1214207086963681,0.03151102725348467,0.07843569264665382,0.1542812097248464,0.12312365376422543,0.048941776160906836,0.05534146863626632,0.18781120331950207,0.050969662975278815,0.015379177423496919,0.04076012117873864,0.07387630255586085,0.06052858447779834,0.03317854308933964,0.04076012117873864,0.13848547717842324,-0.18566052227342578,0.5107961309523807,2.260952380952381,11.426349206349206,0.075,0,19438.643,158.5590000000011,2.3537826420890937,2.102657202192088,19175.18625,18846.892875,12.61253186203917,-0.26967105995018914,0.05932079990205111,0.19234573035765745
2017-09-30,1.9341593654414435,-0.026690054859068946,1.8370855505525991,-0.05636487406398916,0.009469272583924715,0.05215992249537216,0.12246232132445183,-0.00419017491692926,0.040161139283000864,0.3717484955111973,1.8611924101417343,1.3632421193342001,1.3771238014774245,-0.4064542595378097,-0.43517118341687255,19289000000.0,18155000000.0,58149000000.0,2443000000.0,1424000000.0,7345000000.0,1425000000.0,740000000.0,2594000000.0,45446000000.0,42498000000.0,42124000000.0,120495000000.0,117495000000.0,115606000000.0,43490000000.0,30146398988.933987,18155000000.0,79919000000.0,46432125000.0,26649544962.277096,18155000000.0,81741000000.0,5782000000.0,4977870696.057368,1424000000.0,12330000000.0,6136393750.0,5104706896.331595,1034000000.0,14535149999.999998,0.12045792998433329,0.03137022430600163,0.07843569264665382,0.1542812097248464,0.11495504351484415,0.041488778039315846,0.05534146863626632,0.17781957646713398,0.04985756340420802,0.016134675103096043,0.040161139283000864,0.07387630255586085,0.04823804224087054,0.010920533262246668,0.040161139283000864,0.07387630255586085,-0.019523809523809277,0.6770535714285715,2.2414285714285715,10.944285714285714,0.05,0,19692.595,253.95200000000114,2.2511904761904766,2.271920595049231,19375.17525,19008.264000000003,12.040126728110598,-0.4817810644734717,0.07709726272836184,0.25616521620511284
