,Revenue_growth_qoq,Revenue_growth_yoy,EBIT_growth_qoq,EBIT_growth_yoy,TotalAssets_growth_qoq,TotalAssets_growth_yoy,ebit_margin,ebit_margin_change,asset_turnover,Revenue_volatility,EBIT_volatility,Revenue_trend,EBIT_trend,Revenue_lag1,Revenue_lag2,Revenue_lag4,EBIT_lag1,EBIT_lag2,EBIT_lag4,TotalAssets_lag1,TotalAssets_lag2,TotalAssets_lag4,Revenue_ma4,Revenue_std4,Revenue_min4,Revenue_max4,Revenue_ma8,Revenue_std8,Revenue_min8,Revenue_max8,EBIT_ma4,EBIT_std4,EBIT_min4,EBIT_max4,EBIT_ma8,EBIT_std8,EBIT_min8,EBIT_max8,ebit_margin_ma4,ebit_margin_std4,ebit_margin_min4,ebit_margin_max4,ebit_margin_ma8,ebit_margin_std8,ebit_margin_min8,ebit_margin_max8,treasury_change_1q,treasury_change_1y,treasury_level,vix_level,vix_percentile,high_volatility,gdp_growth,gdp_acceleration,macro_10Y_Treasury_MA2Q,macro_10Y_Treasury_MA4Q,macro_GDP_Growth_MA4Q,macro_GDP_Growth_MA8Q,macro_VIX_MA4Q,corr_Revenue_growth_yoy_GDP_Growth,corr_ebit_margin_VIX,corr_ebit_margin_10Y_Treasury
2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8377000000.0,,8377000000.0,8377000000.0,8377000000.0,,8377000000.0,8377000000.0,,,,,,,,,,,2.34,18.54,0.65,0,,,2.34,2.34,,,18.54,,,
2015-09-30,,,-0.19660976483227888,,-0.01325508411668297,,,,,,,,,,,,8377000000.0,,,2449098000000.0,,,,,,,,,,,7874665000.0,4599099033.491739,6730000000.0,8377000000.0,7874665000.0,4596407122.353803,6730000000.0,8377000000.0,,,,,,,,,-0.11687499999999984,,2.223125,19.30734375,0.7,0,18414.36018,,2.2815625,2.2815625,18407.99309,18407.99309,18.923671875,,,
2015-12-31,,,2.0,,-0.026870834859215376,,0.3282126936275296,,0.15910716427024219,,,,,,,,6730000000.0,8377000000.0,,2416635000000.0,2449098000000.0,,93543000000.0,,93543000000.0,93543000000.0,93543000000.0,,93543000000.0,93543000000.0,15269666666.666666,13390139518.81508,6730000000.0,30702000000.0,15269666666.666666,13390139518.81508,6730000000.0,30702000000.0,0.3282126936275296,,0.3282126936275296,0.3282126936275296,0.3282126936275296,,0.2537553252355716,0.3282126936275296,-0.03264112903225813,,2.190483870967742,17.03328125,0.475,0,18435.137,33.5109999999986,2.206804435483871,2.251202956989248,18418.3815,18418.3815,18.293541666666663,,,
2016-03-31,0.0,,-0.7531756888802033,,0.030662950770039332,,0.0810108720053879,-0.2472018216221417,0.1543736137515843,,,,,93543000000.0,,,30702000000.0,6730000000.0,,2376374060000.0,2416635000000.0,,93543000000.0,195085347.47642982,93543000000.0,93543000000.0,93543000000.0,209647429.7481411,93543000000.0,93543000000.0,13346750000.0,11589693334.309296,6730000000.0,30702000000.0,13346750000.0,11589693334.309296,6730000000.0,30702000000.0,0.20461178281645875,0.1747980843906837,0.0810108720053879,0.3282126936275296,0.20461178281645875,0.16888598645297384,0.0810108720053879,0.3282126936275296,-0.2762215758857747,,1.9142622950819672,20.48622950819672,0.725,0,18525.933,90.7960000000021,2.0523730830248548,2.1669677915124272,18454.232,18454.232,18.84171362704918,,,
2016-06-30,0.01078291979802537,,0.23251517550804968,0.11495762206040339,0.017446926489226966,0.00694051442612742,0.0987819710563889,0.017771099051001008,0.15336250765041862,,,,0.16164983984865222,93543000000.0,93543000000.0,,7578000000.0,30702000000.0,8377000000.0,2423808000000.0,2375724690000.0,2449098000000.0,93879222222.22223,582353971.5226142,93543000000.0,94551666666.66669,93879222222.22223,582353971.5226142,93543000000.0,94551666666.66669,13587500000.0,11461337371.06335,6730000000.0,30702000000.0,12545400000.0,10195663431.086767,6730000000.0,30702000000.0,0.16933517889643546,0.1378785752236978,0.0810108720053879,0.3282126936275296,0.16933517889643546,0.1378785752236978,0.0810108720053879,0.3282126936275296,-0.16410604508196713,-0.5898437499999998,1.75015625,15.6759375,0.375,0,18711.702,185.76900000000023,1.832209272540984,2.0195068540124272,18518.5995,18518.5995,18.12569800204918,,,
2016-09-30,0.010667888808587378,,1.7684154175588866,2.0,0.022275288553243566,0.04319808328522923,0.2705829824787831,0.17180101142239418,0.15162115681070437,,,,-0.11255933762649523,94551666666.66669,93543000000.0,,9340000000.0,7578000000.0,6730000000.0,2466096000000.0,2423808000000.0,2416635000000.0,94299500000.0,965724809.356886,93543000000.0,95560333333.33331,94299500000.0,965724809.356886,93543000000.0,95560333333.33331,18369250000.0,11635313414.343424,7578000000.0,30702000000.0,14764000000.0,10615759888.015554,6730000000.0,30702000000.0,0.19464712979202237,0.12343600407920027,0.0810108720053879,0.3282126936275296,0.19464712979202237,0.12343600407920027,0.0810108720053879,0.3282126936275296,-0.18578125,-0.65875,1.564375,13.23390625,0.15,0,18892.639,180.93699999999808,1.657265625,1.8548193540124276,18641.35275,18593.4074,16.60733862704918,,,
2016-12-31,0.010555286189179114,0.032348759394075444,0.33565378814247593,0.12487785811999208,-0.011922512593072088,0.05922274033485597,0.3576302954364237,0.08704731295764062,0.1550703901930652,,,0.0074874910966297925,-0.06953468432298568,95560333333.33331,94551666666.66669,93543000000.0,25857000000.0,9340000000.0,30702000000.0,2521029000000.0,2466096000000.0,2374425950000.0,95056000000.0,1302183067.2915094,93543000000.0,96569000000.0,94753400000.0,1315140431.8762105,93543000000.0,96569000000.0,19327750000.0,13060548083.82864,7578000000.0,34536000000.0,17588571428.57143,12237621962.036345,6730000000.0,34536000000.0,0.20200153024424589,0.13443306255760124,0.0810108720053879,0.3576302954364237,0.22724376292090262,0.12938329793282569,0.0810108720053879,0.3576302954364237,0.5743135245901638,-0.05179534637757799,2.138688524590164,14.097936507936508,0.25,0,19089.379,196.7400000000016,1.8515317622950824,1.8418705174180328,18804.91325,18676.069333333333,15.873502441533306,,,
2017-03-31,0.0,0.032348759394075444,-0.7584839008570767,0.10068619688572178,0.022207395346073744,0.050532880492184296,0.08637347388913627,-0.2712568215472875,0.15170149511642428,,,0.010611288784154998,0.5038920722794945,96569000000.0,95560333333.33331,93543000000.0,34536000000.0,25857000000.0,7578000000.0,2490972000000.0,2521029000000.0,2423808000000.0,95812500000.0,965724809.356886,94551666666.66669,96569000000.0,95056000000.0,1390351050.794164,93543000000.0,96569000000.0,19518500000.0,12835371141.238312,8341000000.0,34536000000.0,16432625000.0,11792153734.42988,6730000000.0,34536000000.0,0.20334218071518298,0.13284158935425705,0.08637347388913627,0.3576302954364237,0.20376538141560827,0.1292263000160121,0.0810108720053879,0.3576302954364237,0.3079243786356427,0.5323506081438394,2.4466129032258066,11.691935483870967,0.1,0,19280.084,190.7049999999981,2.292650713907985,1.9749581694539928,18993.451,18762.35714285714,13.674928935451868,,,
2017-06-30,0.014276493146524016,0.03591687084662709,0.16880469967629774,0.043790149892933616,0.006630823668945851,0.039365053104177594,0.09953274367604467,0.0131592697869084,0.15285371444414883,,1.4548496248583593,0.0073692541856923,0.029110843558674993,96569000000.0,96569000000.0,94551666666.66669,8341000000.0,34536000000.0,9340000000.0,2546290000000.0,2490972000000.0,2466096000000.0,96661500000.0,980459963.8642943,95560333333.33331,97947666666.66669,95469095238.09525,1674941919.548986,93543000000.0,97947666666.66669,19620750000.0,12728441967.368458,8341000000.0,34536000000.0,16604125000.0,11667578270.42221,6730000000.0,34536000000.0,0.20352987387009694,0.13264499544034247,0.08637347388913627,0.3576302954364237,0.1888750045956706,0.12437146148829774,0.0810108720053879,0.3576302954364237,-0.18566052227342578,0.5107961309523807,2.260952380952381,11.426349206349206,0.075,0,19438.643,158.5590000000011,2.3537826420890937,2.102657202192088,19175.18625,18846.892875,12.61253186203917,,-0.1783679575619804,0.0012663868471110445
2017-09-30,0.014075543742746666,0.039409657424105626,1.8357780285157452,0.06918822755926834,-3.9014128576542184e-05,0.016677713743078693,0.27833505045657586,0.1788023067805312,0.1550112612173247,,1.4840281460612668,0.007409361534840576,-0.3797968986914367,97947666666.66669,96569000000.0,95560333333.33331,9749000000.0,8341000000.0,25857000000.0,2563174000000.0,2546290000000.0,2521029000000.0,97603000000.0,1319972839.226733,96569000000.0,99326333333.33331,95951250000.0,2065052147.771541,93543000000.0,99326333333.33331,20068000000.0,13048031754.508673,8341000000.0,34536000000.0,19218625000.0,11480831576.868834,7578000000.0,34536000000.0,0.20546789086454514,0.13400094014181188,0.08637347388913627,0.3576302954364237,0.20005751032828376,0.11941062104362327,0.0810108720053879,0.3576302954364237,-0.019523809523809277,0.6770535714285715,2.2414285714285715,10.944285714285714,0.05,0,19692.595,253.95200000000114,2.2511904761904766,2.271920595049231,19375.17525,19008.264000000003,12.040126728110598,,-0.0031347541944124068,-0.09970395294106017
