,revenue_growth_1y,revenue_growth_2y,ebit_margin,capex_pct_revenue,terminal_growth_proxy
2007-12-31,,0.0,,,
2008-03-31,,0.0,,,
2008-06-30,,0.0,,,
2008-09-30,,0.0,,,
2008-12-31,,0.0,,,
2009-03-31,,0.0,,,
2009-06-30,,0.0,,,
2009-09-30,,0.0,,,
2009-12-31,,0.0,,,
2010-03-31,,0.0,,,
2010-06-30,,0.0,,,
2010-09-30,,0.0,,,
2010-12-31,,0.0,,,
2011-03-31,,0.0,,,
2011-06-30,,0.0,,,
2011-09-30,,0.0,,,
2011-12-31,,0.0,,,
2012-03-31,,0.0,,,
2012-06-30,,0.0,,,
2012-09-30,,0.0,,,
2012-12-31,,0.0,,,
2013-03-31,,0.0,,,
2013-06-30,,0.0,,,
2013-09-30,,0.0,,,
2013-12-31,,0.0,,,
2014-03-31,,0.0,,,
2014-06-30,,0.0,,,
2014-09-30,,0.0,,,
2014-12-31,,0.0,,,
2015-03-31,,0.0,,,
2015-06-30,,0.0,,,
2015-09-30,,0.0,,,
2015-12-31,,0.0,,,
2016-03-31,,0.0,,,
2016-06-30,,0.0,,,
2016-09-30,,0.0,,,
2016-12-31,-0.13498793684160237,-0.09482638497136753,0.20679358861046748,0.05403339464443542,
2017-03-31,-0.5,-0.5,0.04689104937534338,0.010558249528223013,
2017-06-30,-0.5,-0.3735071616246519,0.07997487289216937,0.03266524017981587,
2017-09-30,1.9184842476316368,0.7624388757977143,0.5,0.13152676801057503,
2017-12-31,-0.05280017673699322,0.014448802837195629,0.21415552855407047,0.04832652159505137,
2018-03-31,0.14004720692368222,0.06200380647738868,0.23747705218987675,0.03592971413585103,
2018-06-30,0.06114000636875061,-0.12882677532543874,0.2935994055832714,0.07313448678484237,
2018-09-30,0.06431644900732247,-0.040272710534818845,0.2666264059787122,0.03461161017588888,
2018-12-31,0.08647230320699717,-0.01892544185992795,0.26682215743440235,0.045131195335276965,
2019-03-31,-0.010697032436162823,0.018576027822001295,0.28007821486082357,0.04462847941108811,
2019-06-30,-0.28478543563068925,0.3840067349520804,0.29888966690007,0.07672301690507152,
2019-09-30,-0.134584013050571,-0.4032382821927395,0.28094191077381375,0.04276899070856089,
2019-12-31,-0.11409864219395693,0.01846579761170486,0.27064884881661566,0.05511726506735362,
2020-03-31,0.04871526566678286,0.10441925484747472,0.27671201023136843,0.038018835019183815,
2020-06-30,1.6781818181818182,0.2585372795098617,0.27706293706293705,0.07496503496503497,
2020-09-30,-0.5,-0.32669033862995056,0.09416874974388395,0.03110273327049953,0.01705417778798418
2020-12-31,0.17086690494941537,0.1413145479829172,0.2725207487732477,0.03565154177015811,0.018794952341954635
2021-03-31,0.1630820399113082,0.10331088104021235,0.30177383592017737,0.02394678492239468,0.09100742152040285
2021-06-30,-0.4085853047156509,-0.20930261133820838,0.15750169721656485,0.023499921666927777,0.1
2021-09-30,0.1016729735112527,0.8643768972226165,0.5,0.072495518820952,0.07445121093833491
2021-12-31,0.11250808433579107,0.08795691058807087,0.26666666666666666,0.035364118484025354,0.0930901344122023
2022-03-31,0.04661138118387198,0.03784089171651028,0.32456391192450673,0.020684396149080166,0.0950097038278378
2022-06-30,0.05713024282560708,0.04482325258345621,0.5,0.043002207505518766,0.05586592790413766
2022-09-30,2.0,0.03513264523863002,0.5,0.07014372231763537,0.05897897161279852
2022-12-31,0.06394753976374301,0.04610709843191407,0.2536740768300623,0.03450841782159799,0.061148620040198005
2023-03-31,0.02914389799635697,0.0,0.30664845173041894,0.025136612021857924,0.0659243211752009
2023-06-30,0.032659538924156406,0.0,0.4817908453057133,0.05136986301369863,0.09441729437989227
2023-09-30,-0.5,0.0,0.09368285345938977,0.02867783985102421,0.1
2023-12-31,0.028565808453905772,0.0,0.24721335839489444,0.04047733531494514,0.1
2024-03-31,,0.0,0.18946902654867256,0.03274336283185841,0.1
2024-06-30,,0.0,0.2128933106851088,0.06406212084445523,0.1
2024-09-30,,0.0,0.21174287160452168,0.10637759406107643,0.1
2024-12-31,,0.0,0.21232018019166612,0.04385797156881494,0.1
