date,Revenue,EBIT,CapEx,TotalAssets,TotalDebt
2007-12-31,,7252000000,1648000000,,
2008-06-27,,2679000000,896000000,,
2008-12-31,,8446000000,1968000000,40519000000.0,
2009-04-03,,1863000000,467000000,,
2009-07-03,,2438000000,980000000,46054000000.0,
2009-10-02,,6451000000,1399000000,,
2009-12-31,,8231000000,1993000000,48671000000.0,5110000000.0
2010-04-02,,2183000000,393000000,47403000000.0,
2010-07-02,,2763000000,893000000,48444000000.0,4971000000.0
2010-10-01,,7290000000,1335000000,54089000000.0,5003000000.0
2010-12-31,,8413000000,2215000000,72921000000.0,15317000000.0
2011-04-01,,2284000000,589000000,76058000000.0,14095000000.0
2011-07-01,,3174000000,1190000000,80090000000.0,13859000000.0
2011-09-30,,8203000000,1915000000,81753000000.0,15790000000.0
2011-12-31,,10173000000,2920000000,79974000000.0,15697000000.0
2012-03-30,,2509000000,592000000,83897000000.0,17740000000.0
2012-06-29,,5803000000,1305000000,85149000000.0,16518000000.0
2012-09-28,,8596000000,1971000000,86654000000.0,16522000000.0
2012-12-31,,10779000000,2780000000,86174000000.0,16313000000.0
2013-03-29,,2408000000,498000000,88450000000.0,18796000000.0
2013-06-28,,3243000000,1069000000,89511000000.0,17372000000.0
2013-09-27,,8123000000,1625000000,89432000000.0,17367000000.0
2013-12-31,,10228000000,2550000000,90055000000.0,20178000000.0
2014-03-28,,2376000000,449000000,91289000000.0,20191000000.0
2014-06-27,,3170000000,1030000000,95489000000.0,20162000000.0
2014-09-26,,8257000000,1618000000,96314000000.0,22635000000.0
2014-12-31,,9708000000,2406000000,92023000000.0,22615000000.0
2015-04-03,,2296000000,516000000,91016000000.0,28127000000.0
2015-07-03,,4831000000,1114000000,93538000000.0,28008000000.0
2015-10-02,,2379000000,1670000000,93008000000.0,28641000000.0
2015-12-31,,8728000000,2553000000,89996000000.0,30987000000.0
2016-04-01,,2141000000,536000000,91263000000.0,31946000000.0
2016-07-01,,5000000000,1085000000,94094000000.0,34147000000.0
2016-09-30,,7271000000,1561000000,93927000000.0,35136000000.0
2016-12-31,41863000000.0,8657000000,2262000000,87270000000.0,33211000000.0
2017-03-31,,1963000000,442000000,91201000000.0,33723000000.0
2017-06-30,,2037000000,832000000,91146000000.0,35283000000.0
2017-09-29,9078000000.0,6180000000,1194000000,90515000000.0,35702000000.0
2017-12-31,36212000000.0,7755000000,1750000000,87896000000.0,34480000000.0
2018-03-30,7626000000.0,1811000000,274000000,93282000000.0,34162000000.0
2018-06-29,9421000000.0,2766000000,689000000,89593000000.0,32086000000.0
2018-09-28,26494000000.0,7064000000,917000000,86877000000.0,31864000000.0
2018-12-31,34300000000.0,9152000000,1548000000,83216000000.0,30379000000.0
2019-03-29,8694000000.0,2435000000,388000000,88347000000.0,32697000000.0
2019-06-28,9997000000.0,2988000000,767000000,89996000000.0,32045000000.0
2019-09-27,28198000000.0,7922000000,1206000000,87433000000.0,31504000000.0
2019-12-31,37266000000.0,10086000000,2054000000,86381000000.0,31769000000.0
2020-03-27,8601000000.0,2380000000,327000000,94013000000.0,36736000000.0
2020-06-26,7150000000.0,1981000000,536000000,94689000000.0,42910000000.0
2020-09-25,24403000000.0,2298000000,759000000,97184000000.0,47010000000.0
2020-12-31,33014000000.0,8997000000,1177000000,87296000000.0,40610000000.0
2021-04-02,9020000000.0,2722000000,216000000,89993000000.0,43050000000.0
2021-07-02,19149000000.0,3016000000,450000000,90194000000.0,40141000000.0
2021-10-01,10042000000.0,8636000000,728000000,90606000000.0,39842000000.0
2021-12-31,38655000000.0,10308000000,1367000000,94354000000.0,39454000000.0
2022-04-01,10491000000.0,3405000000,217000000,94064000000.0,38091000000.0
2022-07-01,11325000000.0,5746000000,487000000,93169000000.0,37543000000.0
2022-09-30,11063000000.0,8834000000,776000000,92471000000.0,36191000000.0
2022-12-31,43004000000.0,10909000000,1484000000,92763000000.0,36776000000.0
2023-03-31,10980000000.0,3367000000,276000000,97404000000.0,36945000000.0
2023-06-30,11972000000.0,5768000000,615000000,98456000000.0,36797000000.0
2023-09-29,34905000000.0,3270000000,1001000000,97578000000.0,36256000000.0
2023-12-31,45754000000.0,11311000000,1852000000,97703000000.0,37507000000.0
2024-03-29,11300000000.0,2141000000,370000000,99392000000.0,36496000000.0
2024-06-28,12363000000.0,2632000000,792000000,101202000000.0,43817000000.0
2024-09-27,11854000000.0,2510000000,1261000000,106266000000.0,46264000000.0
2024-12-31,47061000000.0,9992000000,2064000000,100549000000.0,44522000000.0
2025-03-28,11129000000.0,3659000000,309000000,101716000000.0,49111000000.0
