,Revenue,EBIT,CapEx,TotalAssets,TotalDebt
2015-06-30,,1840000000,661000000,31388000000.0,
2015-09-30,,1876000000,1015000000,33258000000.0,
2015-12-31,,6946000000,1461000000,32883000000.0,9878000000.0
2016-03-31,,1788000000,314000000,32982000000.0,9878000000.0
2016-06-30,,1866000000,637000000,33235000000.0,10411333333.333334
2016-09-30,,5558000000,984000000,34051000000.0,10944666666.666666
2016-12-31,30109000000.0,7027000000,1420000000,32906000000.0,11478000000.0
2017-03-31,7685000000.0,1742000000,287000000,33292000000.0,11478000000.0
2017-06-30,7810000000.0,2153000000,589000000,33957000000.0,12051333333.333334
2017-09-30,8172000000.0,5999000000,914000000,35237000000.0,12624666666.666666
2017-12-31,31657000000.0,7566030000,1373000000,37987000000.0,13198000000.0
2018-03-31,8278000000.0,1007000000,304000000,38575000000.0,13198000000.0
2018-06-30,16668000000.0,2401000000,669000000,36778000000.0,13517333333.333334
2018-09-30,8152000000.0,5424000000,1046000000,37275000000.0,13836666666.666666
2018-12-31,32765000000.0,7207000000,1577000000,36500000000.0,14156000000.0
2019-03-31,7863000000.0,1136000000,391000000,39140000000.0,16328000000.0
2019-06-30,16034000000.0,1702000000,812000000,38969000000.0,15777000000.0
2019-09-30,7991000000.0,2011000000,1161000000,42550000000.0,18794000000.0
2019-12-31,32136000000.0,6174000000,1699000000,44659000000.0,19359000000.0
2020-03-31,8075000000.0,1663000000,332000000,46212000000.0,21072000000.0
2020-06-30,7176000000.0,1740000000,711000000,45079000000.0,19926000000.0
2020-09-30,8350000000.0,1909000000,1079000000,45390000000.0,19582000000.0
2020-12-31,32184000000.0,7161000000,1501000000,47344000000.0,18783000000.0
2021-03-31,8851000000.0,1994000000,310000000,47180000000.0,18169000000.0
2021-06-30,17801000000.0,1971000000,704000000,48307000000.0,18232000000.0
2021-09-30,8942000000.0,5753000000,1047000000,48278000000.0,18149000000.0
2021-12-31,35355000000.0,7369000000,1603000000,47072000000.0,17347000000.0
2022-03-31,8829000000.0,1641000000,424000000,45855000000.0,16673000000.0
2022-06-30,17531000000.0,1751000000,808000000,45634000000.0,15921000000.0
2022-09-30,8619000000.0,5907000000,1243000000,46176000000.0,15705000000.0
2022-12-31,26161000000.0,4369000000,1749000000,46455000000.0,15939000000.0
2023-03-31,6055000000.0,1241000000,475000000,46886000000.0,14848000000.0
2023-06-30,8325000000.0,-8492000000,852000000,48880000000.0,14203000000.0
2023-09-30,6270000000.0,-3096000000,1257000000,49621000000.0,14125000000.0
2023-12-31,6002000000.0,-9832170000,1615000000,50580000000.0,14240000000.0
2024-03-31,6016000000.0,1149000000,375000000,55243000000.0,13092000000.0
2024-06-30,6255000000.0,1272000000,644000000,43377000000.0,13083000000.0
2024-09-30,6294000000.0,1316000000,890000000,40875000000.0,13189000000.0
2024-12-31,24575000000.0,4822000000,1181000000,39868000000.0,13044000000.0
2025-03-31,5954000000.0,1246000000,236000000,39951000000.0,13476000000.0
